"plotcode","mean_biomass","SGM","sowndiv","mean_org_02","mean_inorg_02","mean_C_02","mean_org_20","mean_inorg_20","mean_bulk","mean_C_20","block","TNleaching_av","leach_costs","meanSR","mean_org_diff","SOC_costs","costs_total"
"B4A10",375.791578947368,76.6656484210527,8,16.12,36.8866666666667,53.0066666666667,18.117422885,37.4690393683333,1.244072557,55.5864622533333,"B4",0.911391277475892,-10.2349240460543,6.61016949152542,1.997422885,266.02514421167,332.455868586668
"B4A11",514.977105263158,171.729362894737,4,16.4066666666667,35.2633333333333,51.67,15.2993659111667,37.2864495083333,1.25355685516667,52.5858154195,"B4",4.41062604584224,-49.5313304948084,3.77966101694915,-1.1073007555,-148.599239993246,-26.4012075933179
"B4A12",69.4136842105263,-132.590453684211,1,15.7933333333333,32.4333333333333,48.2266666666667,13.49411681,33.5083883783333,1.384350912,47.0025051883333,"B4",1.55779964865154,-17.4940900543568,0.983333333333333,-2.29921652333333,-340.747767269934,-490.832311008501
"B4A13",140.308157894737,-84.1695281578947,1,14.9633333333333,38.2066666666667,53.17,13.57363288,38.4778850866667,1.3118625675,52.0515179666667,"B4",4.0563364309081,-45.5526581190979,0.983333333333333,-1.38970045333333,-195.171542790201,-324.893729067193
"B4A14",117.628947368421,-99.6594289473684,2,16.5766666666667,37.76,54.3366666666667,15.3431340683333,38.127645695,1.2954976355,53.4707797633333,"B4",1.03523465425831,-11.6256851673209,2,-1.23353259833334,-171.078018517517,-282.363132632206
"B4A15",95.0865789473684,-115.055866578947,2,17.4666666666667,35.3133333333333,52.78,15.4983614641667,37.1934451666667,1.26463306933333,52.6918066308333,"B4",1.64742192640684,-18.5005482335488,1.9,-1.9683052025,-266.47957702132,-400.035991833816
"B4A16",322.658947368421,40.3760610526316,8,15.6466666666667,31.2433333333333,46.89,17.406181905,31.31645307,1.2258200815,48.722634975,"B4",2.6682871773508,-29.9648650016495,6.35593220338983,1.75951523833333,230.901481776613,241.312677827595
"B4A17",169.519210526316,-64.2183792105263,2,13.5033333333333,38.6233333333333,52.1266666666667,11.9362375708333,39.7819065266667,1.38073089216667,51.7181440975,"B4",3.09539206073035,-34.7612528420018,2,-1.5670957625,-231.638921302758,-330.618553355286
"B4A18",863.268684210526,409.61251131579,16,15.71,36.1,51.81,18.410111665,36.1273049533333,1.2625153515,54.5374166183333,"B4",2.93340592717423,-32.9421485621666,10.4833333333333,2.700111665,364.94326106099,741.613623814613
"B4A20",749.822342105263,332.128659657895,16,14.8,31.25,46.05,15.8061759383333,31.6617477816667,1.26965758533333,47.46792372,"B4",3.14498006990642,-35.3181261850491,9.85,1.00617593833333,136.762646054649,433.573179527495
"B4A21",655.127368421053,267.451992631579,2,14.8133333333333,37.6666666666667,52.48,13.0254537418333,39.1913463866667,1.354319834,52.2168001285,"B4",2.98039018954707,-33.4697818286136,1.9,-1.7878795915,-259.218779541769,-25.2365687388037
"B4A22",496.260526315789,158.945939473684,4,15.43,34.61,50.04,16.3964168583333,34.9245774066667,1.32427146633333,51.320994265,"B4",0.998590635033444,-11.2141728314256,2.83333333333333,0.966416858333332,137.008803802808,284.740570445067
