year;month;plot;treatment;depth.min;depth.max;root.bm;coarse_root.bm;fine_root.bm
2021;6;B1A08;D3;0.05;0.1;25.43;0;25.43
2021;6;B1A08;D3;0.1;0.2;29.38;0;29.38
2021;6;B1A08;D3;0.2;0.3;23.732;0;23.732
2021;6;B1A08;D3;0.3;0.4;103.21;82.156;21.054
2021;6;B1A11;D3;0.05;0.1;48.504;0;48.504
2021;6;B1A11;D3;0.1;0.2;54.498;0;54.498
2021;6;B1A11;D3;0.2;0.3;34.888;0;34.888
2021;6;B1A11;D3;0.3;0.4;8.038;0;8.038
2021;6;B1A12;D3;0.05;0.1;28.133;0;28.133
2021;6;B1A12;D3;0.1;0.2;18.189;0;18.189
2021;6;B1A12;D3;0.2;0.3;8.246;0;8.246
2021;6;B1A12;D3;0.3;0.4;5.959;0;5.959
2021;6;B1A13;D3;0.05;0.1;18.154;0;18.154
2021;6;B1A13;D3;0.1;0.2;20.025;0;20.025
2021;6;B1A13;D3;0.2;0.3;21.411;9.618;11.793
2021;6;B1A13;D3;0.3;0.4;5.786;0;5.786
2021;6;B1A14;D3;0.05;0.1;94.965;16.963;78.002
2021;6;B1A14;D3;0.1;0.2;91.985;0;91.985
2021;6;B1A14;D3;0.2;0.3;25.915;0;25.915
2021;6;B1A14;D3;0.3;0.4;27.613;0;27.613
2021;6;B1A15;D3;0.05;0.1;20.441;0;20.441
2021;6;B1A15;D3;0.1;0.2;29.969;0;29.969
2021;6;B1A15;D3;0.2;0.3;5.335;0;5.335
2021;6;B1A15;D3;0.3;0.4;3.291;0;3.291
2021;6;B1A16;D3;0.05;0.1;73.138;0;73.138
2021;6;B1A16;D3;0.1;0.2;84.987;0;84.987
2021;6;B1A16;D3;0.2;0.3;28.063;0;28.063
2021;6;B1A16;D3;0.3;0.4;30.315;0;30.315
2021;6;B1A17;D3;0.05;0.1;106.987;0;106.987
2021;6;B1A17;D3;0.1;0.2;89.941;0;89.941
2021;6;B1A17;D3;0.2;0.3;48.885;0;48.885
2021;6;B1A17;D3;0.3;0.4;33.607;0;33.607
2021;6;B1A18;D3;0.05;0.1;50.133;0;50.133
2021;6;B1A18;D3;0.1;0.2;60.7;0;60.7
2021;6;B1A18;D3;0.2;0.3;54.186;0;54.186
2021;6;B1A18;D3;0.3;0.4;18.085;0;18.085
2021;6;B1A19;D3;0.05;0.1;91.223;0;91.223
2021;6;B1A19;D3;0.1;0.2;162.212;0;162.212
