"Block","Plot","Treatment","Date_of_collection","LDMC","LMA","Leaf_Nitrogen","Leaf_Carbon","Diameter","SRL","RDMC","RTD","Root_Nitrogen","Root_Carbon","Comment_leaf","Comment_root"
"B2","B2A13","D2",2021-06-07,0.2168,63.35,1.33,46.48,0.212,250.78,0.1585,0.0815,1.49,39.36,NA,NA
"B2","B2A13","D3",2021-06-07,0.2113,65.65,1.33867968060316,44.6999063411559,0.236,152.88,0.212,0.1199,0.761806107509478,43.9527852142666,NA,NA
"B2","B2A14","D1",2021-06-07,0.2121,47.25,2.23,46.64,0.248,139.45,0.1608,0.1174,1.03531532338057,45.3991340536991,NA,NA
"B2","B2A14","D2",2021-06-07,0.1802,40.93,1.82,46.75,0.318,74.87,0.1817,0.133,1.19427821887371,43.9855854194357,NA,NA
"B2","B2A14","D3",2021-06-07,0.2195,47.67,2.13597169241183,45.254182055985,0.261,148.21,0.1349,0.096,1.26,40.95,NA,NA
"B2","B2A15","D1",2021-06-04,0.2408,51.48,5.07,48.22,0.211,131.63,0.1597,0.1206,1.43,26.47,NA,NA
"B2","B2A15","D2",2021-06-04,0.2318,44.23,5.4,49.18,0.191,244.91,0.1258,0.0972,1.64770950801818,35.5185445720887,NA,NA
"B2","B2A15","D3",2021-06-04,0.1964,39.49,4.38445223874185,47.1302662909717,0.249,150.88,0.1266,0.1046,1.63,41.13,NA,NA
"B2","B2A16","D1",2021-06-04,0.1797,43.44,1.86,46.74,0.3,114.66,0.141,0.1024,1.42,46.15,NA,NA
"B2","B2A16","D2",2021-06-04,0.1921,55.12,2.21623562329569,44.9612608778155,0.27,148.96,0.2009,0.0938,1.55,42.78,NA,NA
"B2","B2A16","D3",2021-06-04,0.1953,37.64,2.72559470054075,45.2089418110051,0.239,107.42,0.1932,0.1268,1.77011467344919,39.5496193276457,NA,NA
"B2","B2A17","D1",2021-06-04,0.2039,39.37,2.81310807005027,44.7995005291163,0.285,104.99,0.1648,0.1063,1.08,43.91,NA,NA
"B2","B2A17","D2",2021-06-04,0.2227,36.17,3.91,46.25,0.246,120.18,0.1653,0.1097,2.04734517192648,41.478702378309,NA,NA
"B2","B2A17","D3",2021-06-04,0.2033,33.7,3.05944682173401,45.5608777732199,0.233,106.11,0.1904,0.1596,1.25156250523168,41.7985570331475,NA,NA
"B2","B2A18","D1",2021-06-04,0.2761,47.16,2.62,45.78,0.226,187.42,0.2198,0.1094,1.04,40.74,NA,NA
"B2","B2A18","D2",2021-06-04,0.2964,40.24,2.22,45.16,0.191,211.73,0.1753,0.1232,0.81,44.76,NA,NA
"B2","B2A18","D3",2021-06-04,0.3632,49.96,1.9,38.71,0.197,198.51,0.1937,0.1255,1.28,38.85,NA,NA
"B2","B2A19","D1",2021-06-04,0.198,44.63,2.29795761520704,43.9049080160562,0.31,109.11,0.2039,0.0848,1.32,36.94,NA,NA
"B2","B2A19","D2",2021-06-04,0.1864,41.72,2.37699705970428,44.0159449570393,0.275,174.55,0.1527,0.0814,1.74,40.24,NA,NA
"B2","B2A19","D3",2021-06-04,0.1473,40.89,1.97,41.44,0.252,173.22,0.1878,0.0859,1.63,35.6,"scanned bag not found in oven; check in freez dried samples",NA
"B2","B2A20","D1",2021-06-04,0.1819,54.13,2.03269631959351,44.2182126187867,0.242,152.23,0.1493,0.1006,1.67597901346514,42.5850240138944,NA,NA
"B2","B2A20","D2",2021-06-04,0.2154,46.4,1.76215835900945,44.8619244642551,0.252,131.12,0.1576,0.1145,1.38449190603315,37.2671394503227,NA,NA
"B2","B2A20","D3",2021-06-04,0.2031,47.56,2.25,45.2,0.246,119.12,0.1615,0.1017,1.19,45.84,NA,NA
"B2","B2A21","D1",2021-06-04,0.1698,42.2,4.03761742862901,46.2395968069712,0.219,201.15,0.1282,0.1037,1.74,42.58,NA,NA
"B2","B2A21","D2",2021-06-04,0.2406,45.7,3.69834159780593,46.8536825041599,0.272,105.51,0.154,0.1055,2.20177577409644,39.8918293004079,NA,NA
"B2","B2A21","D3",2021-06-04,0.1781,46.96,1.72018712233924,43.1903546561641,0.26,99.92,0.1704,0.1299,1.55,36.93,NA,NA
"B2","B2A22","D1",2021-06-04,0.1587,33.63,4.11502494079077,46.9340133166229,0.186,346.35,0.2742,0.0867,1.11,43.78,NA,NA
"B2","B2A22","D2",2021-06-04,0.2901,42.96,3.31307620958305,46.476377197779,0.239,161.17,0.232,0.0839,1.22,44.14,NA,NA
"B2","B2A22","D3",2021-06-04,0.2886,39.48,3.01613513987796,46.0309001216256,0.255,79.55,0.2333,0.1573,0.862984569251621,42.3755514719825,NA,NA
"B3","B3A01","D1",2021-06-07,0.1876,34.26,2.6689915092075,44.8740890748554,0.227,159.17,0.182,0.1146,1.77,41.55,NA,NA
"B3","B3A01","D2",2021-06-07,0.2056,35.97,2.63,45.96,0.221,206.55,0.147,0.1012,1.23739807703972,42.9040564549407,NA,NA
"B3","B3A01","D3",2021-06-07,0.1626,30.18,3.55,45.28,0.194,182.77,0.255,0.1382,1.37,40.04,NA,NA
"B3","B3A02","D1",2021-06-07,0.3015,44.38,2.18,45.34,0.272,168,0.1259,0.0812,2.36,42.02,NA,NA
"B3","B3A02","D3",2021-06-07,0.257,43.47,2.01603961259294,45.4422157512725,0.255,226.72,0.1627,0.0671,2.13,41.47,NA,NA
"B3","B3A03","D1",2021-06-07,0.1275,49.85,2.24,41.39,0.264,205.5,0.1212,0.0739,1.7,43.16,NA,NA
"B3","B3A03","D2",2021-06-07,0.2165,36.9,4.53,45.65,0.239,84.27,0.2514,0.1457,1.75,43.1,NA,NA
"B3","B3A03","D3",2021-06-07,0.1887,39.76,4.1,45.33,0.296,145.2,0.132,0.0797,1.94,39.13,NA,"unscanned: Sample had lable 'D2', but there should not be D2 unscanned; prior to millinf the sample has been combined with scanned D3"
"B3","B3A04","D1",2021-06-07,0.3123,33.89,1.84,44.84,0.26,134.92,0.1659,0.0972,0.682864706561849,43.5486193697774,NA,NA
"B3","B3A04","D2",2021-06-07,0.297,39.89,1.58060229361041,45.5100361877737,0.24,193.93,0.2019,0.0876,1.46695671903633,41.2143776822855,NA,NA
"B3","B3A04","D3",2021-06-07,0.3327,42.63,1.94,45.66,0.258,171.42,0.1674,0.0787,0.622945808176889,38.5862609655022,NA,NA
"B3","B3A05","D1",2021-06-07,0.2394,43.09,3.7,46.87,0.259,122.15,0.2164,0.1078,0.742210353878755,35.4695113799029,NA,NA
"B3","B3A05","D2",2021-06-07,0.2528,42.95,3.39830897530997,46.8870023530185,0.294,107.21,0.3263,0.1083,0.68,33.54,NA,NA
"B3","B3A05","D3",2021-06-07,0.2629,45.75,1.91,44.59,0.338,71.13,0.3107,0.1008,0.701268359001427,38.3563299970885,NA,NA
"B3","B3A06","D1",2021-06-07,0.3044,58.48,1.64220580551189,45.2940346349637,0.231,126.85,0.3306,0.1562,0.73,45.41,NA,NA
"B3","B3A06","D2",2021-06-07,0.3461,79.58,1.19183373352779,45.3382109005214,0.235,114.85,0.3159,0.164,0.74,44.73,NA,NA
"B3","B3A07","D1",2021-06-08,0.2236,35.74,2.84,44.97,0.191,339.46,0.1766,0.0797,1.02,42.86,NA,NA
"B3","B3A07","D2",2021-06-08,0.231,31.05,3.55,47.08,0.204,295.04,0.1327,0.0809,1.10600867355459,41.8383126091301,NA,NA
"B3","B3A07","D3",2021-06-08,0.1683,48.49,2.57,44.81,0.244,194.23,0.1379,0.0839,1.29,42.57,NA,NA
"B3","B3A08","D1",2021-06-08,0.2803,36.19,2.19521918885621,44.9384767987313,0.236,279.42,0.127,0.0668,1.25490751405533,40.4075831400564,NA,NA
"B3","B3A08","D2",2021-06-08,0.2919,45.37,1.62761224972292,44.7738340957677,0.275,190.5,0.1652,0.0675,1.26,41.85,"maybe wrong lable, lable is still here",NA
"B3","B3A08","D3",2021-06-08,0.2715,40.87,2.87678515213795,45.7791114458476,0.201,288.48,0.2038,0.0847,1.31,36.25,"Lable is still here maybe wrong lable",NA
"B3","B3A09","D1",2021-06-08,0.3478,52.1,2.14919808749519,45.9144153804547,0.267,153.48,0.1579,0.0827,0.81,34.53,NA,NA
"B3","B3A09","D2",2021-06-08,0.3447,55.31,1.66,45.19,0.253,167.63,0.2016,0.0805,0.88,32.31,NA,NA
"B3","B3A09","D3",2021-06-08,0.3076,47.73,2.02,45.18,0.319,88.39,0.2111,0.0907,0.819936295079347,38.7120863058982,NA,NA
"B3","B3A11","D1",2021-06-08,0.2961,48.82,1.8,45.33,0.29,125.34,0.1993,0.0891,1.01695904338461,40.2224922050217,NA,NA
"B3","B3A11","D2",2021-06-08,0.3235,63.18,1.85,45.41,0.371,57.39,0.356,0.1122,0.514121755095117,35.0285176560091,NA,NA
"B3","B3A11","D3",2021-06-08,0.3015,47.47,1.65,44.76,0.302,60.69,0.335,0.1637,0.56,37.48,NA,NA
"B3","B3A12","D1",2021-06-08,0.277,34.28,3.21065321195378,48.0628665980202,0.222,337.29,0.1572,0.0552,1.85,36.51,NA,NA
"B3","B3A12","D2",2021-06-08,0.2441,38.88,4.1499373113131,48.5272751835468,0.268,96.06,0.1809,0.1124,1.9,42.89,NA,NA
"B3","B3A12","D3",2021-06-08,0.276,32.57,4.48,49.45,0.221,235.3,0.1524,0.0869,NA,NA,NA,NA
"B3","B3A13","D1",2021-06-08,0.3134,48.5,1.76,44.2,0.257,96.91,0.3948,0.138,0.76,38.62,NA,NA
"B3","B3A13","D2",2021-06-08,0.317,54.11,1.54,45.43,0.294,102.06,0.2124,0.1069,0.78,41.43,NA,NA
"B3","B3A13","D3",2021-06-08,0.3004,52.55,1.84971803097907,45.0442202863996,0.295,85.01,NA,0.1164,0.753555386261378,40.7606745251029,NA,"FW_forgotten"
"B3","B3A14","D1",2021-06-08,0.2229,37.17,2.42,46.02,0.2,217.87,0.2345,0.1067,0.99,43.58,NA,NA
"B3","B3A14","D2",2021-06-08,0.2415,38.52,2.37302999267402,45.782108195011,0.28,116.45,0.1577,0.1031,0.60646673677618,42.3790227690353,NA,NA
"B3","B3A14","D3",2021-06-08,0.2231,43.52,2.01,45.23,0.216,234.04,0.232,0.0989,0.860043665171727,42.4957193928374,NA,NA
"B3","B3A16","D1",2021-06-08,0.143,37.99,2.24752062659512,43.2528725181957,0.217,245.07,0.1388,0.0716,1.46,40.71,NA,NA
"B3","B3A16","D2",2021-06-08,0.1628,33.34,2.57,44.99,0.277,127.23,0.1562,0.0955,1.96,42.03,NA,NA
"B3","B3A16","D3",2021-06-08,0.2291,29.07,3.38547445964546,47.3981579357092,0.24,162.03,0.1302,0.0808,1.90230338006307,42.6445707798993,NA,NA
"B3","B3A17","D1",2021-06-08,0.2524,35.23,2.2,45.96,0.224,181.19,0.201,0.1149,2.02393279863998,42.6061571394236,"ver.arv OR ver.cha (not sure)",NA
"B3","B3A17","D2",2021-06-08,0.1973,33.94,2.14,42.03,0.253,204.23,0.1573,0.0759,1.74,41.22,"Not sure if Ver.arv or Ver.cha",NA
"B3","B3A17","D3",2021-06-08,0.1753,36.14,1.4,44.11,0.255,187,0.1411,0.0864,1.75,32.93,"ver.arv OR ver.cha (not sure)",NA
"B3","B3A19","D1",2021-06-08,0.1702,35.05,2.25,44.03,0.213,238.7,0.2033,0.0886,1.58,37.82,NA,NA
"B3","B3A19","D2",2021-06-08,0.1695,35.41,2.21,44.69,0.246,196.23,0.1635,0.0843,1.34654225405316,41.4642401248088,NA,NA
"B3","B3A19","D3",2021-06-08,0.1787,39.86,2.07432113138067,43.766615743447,0.243,238.21,0.1308,0.0706,1.8,41.42,NA,NA
"B3","B3A20","D1",2021-06-09,0.1811,42.66,2.03,46.98,0.287,132.97,0.1394,0.1015,1.21,45.43,NA,NA
"B3","B3A20","D2",2021-06-09,0.1854,40.98,3.38,47.76,0.273,132.83,0.1601,0.1037,1.2583866998312,42.8177451052079,NA,NA
"B3","B3A20","D3",2021-06-09,0.1676,34.34,2.23834221054978,45.946745267001,0.268,126.28,0.1697,0.1067,1.5,41.09,NA,NA
"B3","B3A21","D1",2021-06-09,0.1667,33.08,4.21769459267132,46.4826638184592,0.303,84.82,0.1997,0.1126,2.41495935545218,42.4180602626635,NA,"Maybe_DW_and_bag _unscanned_inverted_D2"
"B3","B3A21","D2",2021-06-09,0.1954,36.74,4.73,45.86,0.325,86.14,0.1659,0.101,2.46086793760204,41.801816204001,NA,"Maybe_DW_and_bag _unscanned_inverted_D1"
"B3","B3A21","D3",2021-06-09,0.165,23.75,4.12,46.25,0.264,126.19,0.1936,0.106,1.79,37.59,NA,NA
"B3","B3A22","D1",2021-06-09,0.2324,41.54,2.50444531013705,45.5227227129768,0.18,257,0.2452,0.1217,1.14,38.23,NA,NA
"B3","B3A22","D2",2021-06-09,0.2471,41.08,3.04172137658425,46.5699057398137,0.264,135.46,0.168,0.102,0.86,36.59,NA,NA
"B3","B3A22","D3",2021-06-09,0.192,39.45,2.5,44.89,0.185,251.9,0.1237,0.1134,0.754529876022549,42.0499282958073,"Processed: No info on proportion",NA
"B3","B3A23","D1",2021-06-11,0.1911,35.56,2.67978603223216,44.2374613494228,0.272,153.42,0.14,0.0736,0.93,42.73,NA,NA
"B3","B3A23","D2",2021-06-11,0.1978,29.05,4.68,48.51,0.273,162.5,0.1461,0.0764,1.67,42.84,NA,NA
"B3","B3A23","D3",2021-06-11,0.1725,39.92,3.11,44.61,0.244,167.52,0.197,0.0983,1.7,42.25,NA,NA
"B3","B3A24","D1",2021-06-11,0.2383,26.51,2.50051569195262,45.3115589449537,0.226,278.38,0.1341,0.0663,1.09,42.53,NA,NA
"B3","B3A24","D2",2021-06-11,0.1991,27.73,2.62060402144951,45.6734658933277,0.232,199.52,0.1432,0.0776,0.695119188827846,44.3489144221068,NA,NA
"B3","B3A24","D3",2021-06-11,0.2459,31.09,2.24,45.76,0.268,166.58,0.1407,0.0802,1.02,39.71,NA,NA
"B4","B4A01","D1",2021-06-09,0.215,37.01,2.58,46.58,0.248,157.92,0.1961,0.0924,0.81,40.63,NA,NA
"B4","B4A01","D2",2021-06-09,0.2476,36.41,2.13,46.55,0.252,130.83,0.1845,0.1138,0.725598997453531,44.0342268767263,NA,NA
"B4","B4A01","D3",2021-06-09,0.2338,33.9,2.4540762134362,45.5404952064045,0.321,76.53,0.1836,0.1094,1.34952249299349,43.0342439401422,NA,NA
